Date; time; Left actuator; Right actuator
11.25.2015; 16:52:43; 0; 0
11.25.2015; 16:52:43; 0; 0
11.25.2015; 16:52:43; 0; 0
11.25.2015; 16:52:43; 0; 0
11.25.2015; 16:52:43; 0; 0
11.25.2015; 16:52:44; 0; 0
11.25.2015; 16:52:44; 0; 0
11.25.2015; 16:52:44; 0; 0
11.25.2015; 16:52:44; 0; 0
11.25.2015; 16:52:44; 0; 0
11.25.2015; 16:52:44; 0; 0
11.25.2015; 16:52:44; 0; 0
11.25.2015; 16:52:44; 0; 0
11.25.2015; 16:52:44; 0; 0
11.25.2015; 16:52:45; 0; 0
11.25.2015; 16:52:45; 0; 0
11.25.2015; 16:52:45; 0; 0
11.25.2015; 16:52:45; 0; 0
11.25.2015; 16:52:45; 0; 0
11.25.2015; 16:52:45; 0; 0
11.25.2015; 16:52:45; 0; 0
11.25.2015; 16:52:45; 0; 0
11.25.2015; 16:52:45; 0; 0
11.25.2015; 16:52:46; 0; 0
11.25.2015; 16:52:46; 0; 0
11.25.2015; 16:52:46; 0; 0
11.25.2015; 16:52:46; 0; 0
11.25.2015; 16:52:46; 0; 0
11.25.2015; 16:52:46; 0; 0
11.25.2015; 16:52:46; 0; 0
11.25.2015; 16:52:46; 0; 0
11.25.2015; 16:52:46; 0; 0
11.25.2015; 16:52:46; 0; 0
11.25.2015; 16:52:47; 0; 0
11.25.2015; 16:52:47; 0; 0
11.25.2015; 16:52:47; 0; 0
11.25.2015; 16:52:47; 0; 0
11.25.2015; 16:52:47; 0; 0
11.25.2015; 16:52:47; 0; 0
11.25.2015; 16:52:47; 0; 0
11.25.2015; 16:52:47; 0; 0
11.25.2015; 16:52:47; 0; 0
11.25.2015; 16:52:48; 0; 0
11.25.2015; 16:52:48; 0; 0
11.25.2015; 16:52:48; 0; 0
11.25.2015; 16:52:48; 0; 0
11.25.2015; 16:52:48; 0; 0
11.25.2015; 16:52:48; 0; 0
11.25.2015; 16:52:48; 0; 0
11.25.2015; 16:52:48; 0; 0
11.25.2015; 16:52:48; 0; 0
11.25.2015; 16:52:49; 0; 0
11.25.2015; 16:52:49; 0; 0
11.25.2015; 16:52:49; 0; 0
11.25.2015; 16:52:49; 0; 0
11.25.2015; 16:52:49; 0; 0
11.25.2015; 16:52:49; 0; 0
11.25.2015; 16:52:49; 0; 0
11.25.2015; 16:52:49; 0; 0
11.25.2015; 16:52:49; 0; 0
11.25.2015; 16:52:50; 0; 0
11.25.2015; 16:52:50; 0; 0
11.25.2015; 16:52:50; 0; 0
11.25.2015; 16:52:50; 0; 0
11.25.2015; 16:52:50; 0; 0
11.25.2015; 16:52:50; 0; 0
11.25.2015; 16:52:50; 0; 0
11.25.2015; 16:52:50; 0; 0
11.25.2015; 16:52:50; 0; 0
11.25.2015; 16:52:51; 0; 0
11.25.2015; 16:52:51; 0; 0
11.25.2015; 16:52:51; 0; 0
11.25.2015; 16:52:51; 0; 0
11.25.2015; 16:52:51; 0; 0
11.25.2015; 16:52:51; 0; 0
11.25.2015; 16:52:51; 0; 0
11.25.2015; 16:52:51; 0; 0
11.25.2015; 16:52:51; 0; 0
11.25.2015; 16:52:52; 0; 0
11.25.2015; 16:52:52; 0; 0
11.25.2015; 16:52:52; 0; 0
11.25.2015; 16:52:52; 0; 0
11.25.2015; 16:52:52; 0; 0
11.25.2015; 16:52:52; 0; 0
11.25.2015; 16:52:52; 0; 0
11.25.2015; 16:52:52; 0; 0
11.25.2015; 16:52:52; 0; 0
11.25.2015; 16:52:53; 0; 0
11.25.2015; 16:52:53; 0; 0
11.25.2015; 16:52:53; 0; 0
11.25.2015; 16:52:53; 0; 0
11.25.2015; 16:52:53; 0; 0
11.25.2015; 16:52:53; 0; 0
11.25.2015; 16:52:53; 0; 0
11.25.2015; 16:52:53; 0; 0
11.25.2015; 16:52:53; 0; 0
11.25.2015; 16:52:53; 0; 0
11.25.2015; 16:52:54; 0; 0
11.25.2015; 16:52:54; 0; 0
11.25.2015; 16:52:54; 0; 0
11.25.2015; 16:52:54; 0; 0
11.25.2015; 16:52:54; 0; 0
11.25.2015; 16:52:54; 0; 0
11.25.2015; 16:52:54; 0; 0
